Início de Coleta;ir ao jic;bote marinha;31-05-2014-14:23:01;samsung-SM-T211M;31/05/2014 14:23:01
31/05/2014 14:38:35;-26.289637628942728;-48.742876164615154;2.5761611;-0.58418524;10.122684551,1
31/05/2014 14:38:40;-26.290041552856565;-48.74340648762882;0.6895301;-1.6663644;6.071695350,4
31/05/2014 14:38:45;-26.29043122753501;-48.74395181424916;1.5035586;-1.3694834;8.08282550,6
31/05/2014 14:38:50;-26.290842946618795;-48.74448942951858;0.5363012;-1.5801731;5.200206350,2
31/05/2014 14:38:55;-26.291277422569692;-48.745003743097186;0.4405331;-2.1452048;7.623138450,4
31/05/2014 14:39:00;-26.29173608031124;-48.74550514854491;0.90979666;-0.1340753;11.29105652,9
31/05/2014 14:39:05;-26.292202826589346;-48.74599012546241;0.37349546;0.94810385;11.11867250,2
31/05/2014 14:39:10;-26.292629716917872;-48.7465450912714;1.3311762;0.8810662;13.14895553,1
31/05/2014 14:39:15;-26.293028108775616;-48.74712101183832;0.62249243;-0.30645782;9.51934652,4
31/05/2014 14:39:20;-26.293422477319837;-48.74769961461425;0.7086837;-0.61291564;8.12113252,0
31/05/2014 14:39:25;-26.293833944946527;-48.74825323931873;1.1013328;-0.10534488;11.1569852,0
31/05/2014 14:39:30;-26.29421838093549;-48.748853635042906;0.6607997;-0.45968673;6.79953353,3
31/05/2014 14:39:35;-26.294582867994905;-48.7494514323771;0.40222588;-0.10534488;9.63426851,8
31/05/2014 14:39:40;-26.29491194151342;-48.750084936618805;-0.076614454;0.22984336;11.07078852,0
31/05/2014 14:39:45;-26.29515505861491;-48.750725062564015;0.62249243;-0.22984336;6.1483150,0
31/05/2014 14:39:50;-26.295263981446624;-48.75141967087984;1.0534488;-0.62249243;13.36922350,6
31/05/2014 14:39:55;-26.29521172028035;-48.75216079875827;0.29688102;0.19153613;9.58638453,5
31/05/2014 14:40:00;-26.295110676437616;-48.75290863215923;1.1587936;-0.35434186;9.68215253,5
31/05/2014 14:40:05;-26.29499521572143;-48.75362394377589;0.6991069;0.62249243;10.591948552,0
31/05/2014 14:40:10;-26.29488532897085;-48.754364401102066;0.9768343;0.1340753;8.02536453,8
